"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun May 04 12:56:41 WIB 2025","Sun May 04 12:56:41 WIB 2025","16","","MainAppTest","","MainAppTest","testIsInRangeFalse","Menguji pemanggilan fungsi isInRange menghasilkan false","Menguji apakah fungsi isInRange menghasilkan false."
"passed","Sun May 04 12:56:41 WIB 2025","Sun May 04 12:56:41 WIB 2025","16","","CalculateTest","","CalculateTest","testMultiply_OneOperandIsZero","Menguji operasi perkalian dua buah input dengan salah satu bilangan nol","Menguji operasi perkalian dua buah input dengan salah satu bilangan nol"
"passed","Sun May 04 12:56:40 WIB 2025","Sun May 04 12:56:40 WIB 2025","0","","CalculateTest","","CalculateTest","testSubtract_BothOperandsAreZero","Menguji operasi pengurangan dua buah input bilangan nol","Menguji operasi pengurangan dua buah input bilangan nol"
"passed","Sun May 04 12:56:41 WIB 2025","Sun May 04 12:56:41 WIB 2025","41","","ComputeTest","","ComputeTest","testPerformCalculation_Division","Test Perform Calculation - Division","Menguji pemanggilan modul divide"
"passed","Sun May 04 12:56:44 WIB 2025","Sun May 04 12:56:44 WIB 2025","0","","MainAppTest","","MainAppTest","testParseValidNumber","Menguji pengubahan input string menjadi bilangan bulat","Menguji apakah fungsi parseValidNumber() berhasil mengubah string valid menjadi int."
"passed","Sun May 04 12:56:44 WIB 2025","Sun May 04 12:56:44 WIB 2025","16","","ValidateTest","","ValidateTest","testIsValidDivision_Invalid","Menguji kondisi tidak valid pembagian, saat penyebut (num2) bernilai nol","Menguji kondisi tidak valid pembagian, saat penyebut (num2) bernilai nol"
"passed","Sun May 04 12:56:40 WIB 2025","Sun May 04 12:56:40 WIB 2025","8","","CalculateTest","","CalculateTest","testSubtract_NegativeNumbers","Menguji operasi pengurangan dua buah input bilangan negatif","Menguji operasi pengurangan dua buah input bilangan negatif"
"passed","Sun May 04 12:56:44 WIB 2025","Sun May 04 12:56:44 WIB 2025","0","","MainAppTest","","MainAppTest","testPrintExitMessage_OutputCorrect","TC1 - Menampilkan pesan keluar saat program selesai","Menguji printExitMessage() untuk memastikan pesan perpisahan ditampilkan dengan benar."
"passed","Sun May 04 12:56:44 WIB 2025","Sun May 04 12:56:44 WIB 2025","8","","ValidateTest","","ValidateTest","testIsValidDivision_Valid","Menguji kondisi valid pembagian, saat penyebut (num2) bukan nol","Menguji kondisi valid pembagian, saat penyebut (num2) bukan nol"
"passed","Sun May 04 12:56:41 WIB 2025","Sun May 04 12:56:41 WIB 2025","16","","MainAppTest","","MainAppTest","testIsNumericAndIsInRangeTrue","Menguji pemanggilan fungsi isValidNumberInput menghasilkan true","Menguji apakah fungsi isValidNumberInput menghasilkan true"
"passed","Sun May 04 12:56:41 WIB 2025","Sun May 04 12:56:41 WIB 2025","0","","ComputeTest","","ComputeTest","testPerformCalculation_Subtraction","Test Perform Calculation - Subtraction","Menguji pemanggilan modul subtract"
"passed","Sun May 04 12:56:41 WIB 2025","Sun May 04 12:56:41 WIB 2025","15","","MainAppTest","","MainAppTest","testPrintHeader_OutputCorrect","TC1 - Menampilkan header kalkulator","Menguji printHeader() untuk memastikan tampilan header sesuai dengan format yang diharapkan."
